

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.043  000.043: --- NVIM STARTING ---
000.843  000.800: locale set
002.661  001.818: inits 1
002.697  000.036: window checked
003.557  000.860: parsing arguments
003.569  000.011: expanding arguments
003.787  000.218: inits 2
004.808  001.021: init highlight
014.043  008.563  008.563: sourcing /home/arden/.config/nvim/autoload/plug.vim
043.998  000.043  000.043: sourcing /home/arden/.config/nvim/Plugged/vim-twig/filetype.vim
056.819  000.082  000.082: sourcing /home/arden/.config/nvim/Plugged/ansible-vim/ftdetect/ansible.vim
056.913  000.049  000.049: sourcing /home/arden/.config/nvim/Plugged/apiblueprint.vim/ftdetect/apiblueprint.vim
057.006  000.046  000.046: sourcing /home/arden/.config/nvim/Plugged/vim-arduino-syntax/ftdetect/arduino.vim
057.088  000.038  000.038: sourcing /home/arden/.config/nvim/Plugged/vim-asciidoc/ftdetect/asciidoc.vim
057.154  000.020  000.020: sourcing /home/arden/.config/nvim/Plugged/vim-blade/ftdetect/blade.vim
057.223  000.020  000.020: sourcing /home/arden/.config/nvim/Plugged/vim-caddyfile/ftdetect/caddyfile.vim
057.279  000.021  000.021: sourcing /home/arden/.config/nvim/Plugged/carp-vim/ftdetect/carp.vim
057.359  000.047  000.047: sourcing /home/arden/.config/nvim/Plugged/vim-cjsx/ftdetect/cjsx.vim
057.479  000.084  000.084: sourcing /home/arden/.config/nvim/Plugged/vim-clojure-static/ftdetect/clojure.vim
057.633  000.103  000.103: sourcing /home/arden/.config/nvim/Plugged/vim-coffee-script/ftdetect/coffee.vim
057.690  000.041  000.041: sourcing /home/arden/.config/nvim/Plugged/vim-coffee-script/ftdetect/vim-literate-coffeescript.vim
057.750  000.024  000.024: sourcing /home/arden/.config/nvim/Plugged/cql-vim/ftdetect/cql.vim
057.849  000.063  000.063: sourcing /home/arden/.config/nvim/Plugged/cryptol.vim/ftdetect/cryptol.vim
057.933  000.049  000.049: sourcing /home/arden/.config/nvim/Plugged/vim-crystal/ftdetect/crystal.vim
058.000  000.031  000.031: sourcing /home/arden/.config/nvim/Plugged/vim-cucumber/ftdetect/cucumber.vim
058.055  000.019  000.019: sourcing /home/arden/.config/nvim/Plugged/dart-vim-plugin/ftdetect/dart.vim
058.163  000.069  000.069: sourcing /home/arden/.config/nvim/Plugged/vim-elixir/ftdetect/elixir.vim
058.219  000.020  000.020: sourcing /home/arden/.config/nvim/Plugged/elm-vim/ftdetect/elm.vim
058.291  000.037  000.037: sourcing /home/arden/.config/nvim/Plugged/vim-ember-script/ftdetect/ember-script.vim
058.363  000.037  000.037: sourcing /home/arden/.config/nvim/Plugged/vim-emblem/ftdetect/emblem.vim
058.509  000.111  000.111: sourcing /home/arden/.config/nvim/Plugged/vim-erlang-runtime/ftdetect/erlang.vim
058.643  000.099  000.099: sourcing /home/arden/.config/nvim/Plugged/vim-fish/ftdetect/fish.vim
058.722  000.044  000.044: sourcing /home/arden/.config/nvim/Plugged/vim-fsharp/ftdetect/fsharp.vim
058.968  000.212  000.212: sourcing /home/arden/.config/nvim/Plugged/vim-git/ftdetect/git.vim
059.105  000.103  000.103: sourcing /home/arden/.config/nvim/Plugged/vim-glsl/ftdetect/glsl.vim
059.160  000.019  000.019: sourcing /home/arden/.config/nvim/Plugged/gmpl.vim/ftdetect/gmpl.vim
059.288  000.087  000.087: sourcing /home/arden/.config/nvim/Plugged/vim-go/ftdetect/gofiletype.vim
059.370  000.038  000.038: sourcing /home/arden/.config/nvim/Plugged/vim-haml/ftdetect/haml.vim
059.514  000.103  000.103: sourcing /home/arden/.config/nvim/Plugged/vim-mustache-handlebars/ftdetect/mustache.vim
059.604  000.053  000.053: sourcing /home/arden/.config/nvim/Plugged/haskell-vim/ftdetect/haskell.vim
059.658  000.019  000.019: sourcing /home/arden/.config/nvim/Plugged/vim-haxe/ftdetect/haxe.vim
059.750  000.051  000.051: sourcing /home/arden/.config/nvim/Plugged/i3-vim-syntax/ftdetect/i3.vim
059.823  000.038  000.038: sourcing /home/arden/.config/nvim/Plugged/vim-jasmine/ftdetect/jasmine.vim
059.928  000.071  000.071: sourcing /home/arden/.config/nvim/Plugged/vim-javascript/ftdetect/javascript.vim
060.037  000.071  000.071: sourcing /home/arden/.config/nvim/Plugged/Jenkinsfile-vim-syntax/ftdetect/Jenkinsfile.vim
060.117  000.021  000.021: sourcing /home/arden/.config/nvim/Plugged/json5.vim/ftdetect/json5.vim
060.234  000.083  000.083: sourcing /home/arden/.config/nvim/Plugged/vim-json/ftdetect/json.vim
060.355  000.081  000.081: sourcing /home/arden/.config/nvim/Plugged/vim-jst/ftdetect/jst.vim
060.466  000.077  000.077: sourcing /home/arden/.config/nvim/Plugged/vim-jsx/ftdetect/javascript.vim
060.547  000.045  000.045: sourcing /home/arden/.config/nvim/Plugged/julia-vim/ftdetect/julia.vim
060.619  000.037  000.037: sourcing /home/arden/.config/nvim/Plugged/kotlin-vim/ftdetect/kotlin.vim
060.684  000.021  000.021: sourcing /home/arden/.config/nvim/Plugged/vim-less/ftdetect/less.vim
060.936  000.219  000.219: sourcing /home/arden/.config/nvim/Plugged/vim-liquid/ftdetect/liquid.vim
